Week Of,City,Neighborhood,Product,SKU,Channel,Sales (Units)
,,,,,,
5/23/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,98
,,,,,,
5/16/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,71
,,,,,,
5/9/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,55
,,,,,,
5/2/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,43
,,,,,,
4/25/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
4/18/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
4/11/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
4/4/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/28/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/21/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/14/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
3/7/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/29/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/22/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/15/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/8/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
2/1/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/25/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/18/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/11/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
1/4/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/28/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/21/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/14/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
12/7/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/30/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/23/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/16/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/9/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
11/2/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/26/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/19/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/12/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
10/5/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
9/28/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
9/21/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
,,,,,,
9/14/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,38
,,,,,,
9/7/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,45
,,,,,,
8/31/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,102
,,,,,,
8/24/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,177
,,,,,,
8/17/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,197
,,,,,,
8/10/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,204
,,,,,,
8/3/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,206
,,,,,,
7/27/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,204
,,,,,,
7/20/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,180
,,,,,,
7/13/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,169
,,,,,,
7/6/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,177
,,,,,,
6/29/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,312
,,,,,,
6/22/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,170
,,,,,,
6/15/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,151
,,,,,,
6/8/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,137
,,,,,,
6/1/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,130
,,,,,,
5/23/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,351
,,,,,,
5/16/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,326
,,,,,,
5/9/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,325
,,,,,,
5/2/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,296
,,,,,,
4/25/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,284
,,,,,,
4/18/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,279
,,,,,,
4/11/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,272
,,,,,,
4/4/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
,,,,,,
3/28/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,264
,,,,,,
3/21/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,262
,,,,,,
3/14/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
,,,,,,
3/7/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
,,,,,,
2/29/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,247
,,,,,,
2/22/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,224
,,,,,,
2/15/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
,,,,,,
2/8/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,211
,,,,,,
2/1/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
,,,,,,
1/25/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
,,,,,,
1/18/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
,,,,,,
1/11/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,213
,,,,,,
1/4/2016,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
,,,,,,
12/28/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,209
,,,,,,
12/21/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
,,,,,,
12/14/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
,,,,,,
12/7/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
,,,,,,
11/30/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
,,,,,,
11/23/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
,,,,,,
11/16/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
,,,,,,
11/9/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
,,,,,,
11/2/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,208
,,,,,,
10/26/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,220
,,,,,,
10/19/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,238
,,,,,,
10/12/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,242
,,,,,,
10/5/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,247
,,,,,,
9/28/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
,,,,,,
9/21/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,279
,,,,,,
9/14/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,288
,,,,,,
9/7/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,304
,,,,,,
8/31/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,312
,,,,,,
8/24/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,327
,,,,,,
8/17/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,345
,,,,,,
8/10/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,362
,,,,,,
8/3/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,392
,,,,,,
7/27/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,424
,,,,,,
7/20/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,419
,,,,,,
7/13/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,422
,,,,,,
7/6/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,426
,,,,,,
6/29/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,625
,,,,,,
6/22/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,387
,,,,,,
6/15/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,377
,,,,,,
6/8/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,369
,,,,,,
6/1/2015,Boston,Allston,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,358
,,,,,,
5/23/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,256
,,,,,,
5/16/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,185
,,,,,,
5/9/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,130
,,,,,,
5/2/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,93
,,,,,,
4/25/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
4/18/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
4/11/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
4/4/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/28/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/21/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/14/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
3/7/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/29/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/22/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/15/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/8/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
2/1/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/25/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/18/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/11/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
1/4/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/28/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/21/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/14/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
12/7/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/30/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/23/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/16/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/9/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
11/2/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/26/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/19/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/12/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
10/5/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
9/28/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
9/21/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
,,,,,,
9/14/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,92
,,,,,,
9/7/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,111
,,,,,,
8/31/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,273
,,,,,,
8/24/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,460
,,,,,,
8/17/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,516
,,,,,,
8/10/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,554
,,,,,,
8/3/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,556
,,,,,,
7/27/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,548
,,,,,,
7/20/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,464
,,,,,,
7/13/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,440
,,,,,,
7/6/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,461
,,,,,,
6/29/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,823
,,,,,,
6/22/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,460
,,,,,,
6/15/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,382
,,,,,,
6/8/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,368
,,,,,,
6/1/2015,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,333
,,,,,,
5/23/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,264
,,,,,,
5/16/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,249
,,,,,,
5/9/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,246
,,,,,,
5/2/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,215
,,,,,,
4/25/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,214
,,,,,,
4/18/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,207
,,,,,,
4/11/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,200
,,,,,,
4/4/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,204
,,,,,,
3/28/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,198
,,,,,,
3/21/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,197
,,,,,,
3/14/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,190
,,,,,,
3/7/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,194
,,,,,,
2/29/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,185
,,,,,,
2/22/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,173
,,,,,,
2/15/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
,,,,,,
2/8/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
,,,,,,
2/1/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
,,,,,,
1/25/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
,,,,,,
1/18/2016,Boston,Allston,FanCo. Classic,GREEN - FanCo. Classic,Retail,159
,,,,,,
